$BGINS,27.299999,-6.733574,-5.688008,-0.039287,-0.032805,2,2,END$
$BGINS,28.000000,-6.733398,-5.687840,-0.039251,-0.032892,2,1,END$
$BGINS,29.000000,-6.733132,-5.687648,-0.039135,-0.032886,2,1,END$
$BGINS,30.000000,-6.732829,-5.687450,-0.039196,-0.032883,2,1,END$
$BGINS,31.000000,-6.764643,-5.677207,-0.056678,-0.073454,2,1,END$
$BGINS,32.000000,-7.837483,-5.260416,-0.040327,0.027176,2,1,END$
$BGINS,33.000000,-9.110451,-4.483346,-0.062673,0.038503,2,1,END$
$BGINS,34.000000,-10.367559,-3.447271,-0.158404,0.012218,2,1,END$
$BGINS,35.000000,-11.496249,-2.312752,-0.083018,0.034239,2,1,END$
$BGINS,36.000000,-12.131992,-1.406057,-0.055167,0.066029,2,1,END$
$BGINS,37.000000,-12.160659,-1.335399,-0.072464,0.128326,2,1,END$
$BGINS,37.540001,-12.161122,-1.333863,-0.070137,0.131838,2,2,END$
$BGINS,38.000000,-12.161077,-1.333694,-0.070078,0.131864,2,1,END$
$BGINS,39.000000,-12.160961,-1.333307,-0.070065,0.131930,2,1,END$
$BGINS,40.000000,-12.160816,-1.332948,-0.070070,0.131961,2,1,END$
$BGINS,41.000000,-12.160655,-1.332578,-0.070139,0.132024,2,1,END$
$BGINS,42.000000,-12.160472,-1.332220,-0.070100,0.132087,2,1,END$
$BGINS,43.000000,-12.189865,-1.297357,-0.031326,0.011569,2,1,END$
$BGINS,44.000000,-12.946556,-0.128649,-0.059577,0.093149,2,1,END$
$BGINS,45.000000,-13.526258,1.288761,-0.096228,0.067362,2,1,END$
$BGINS,46.000000,-13.540978,2.431953,-0.019442,0.072743,2,1,END$
$BGINS,47.000000,-13.505593,2.609358,-0.070563,0.108221,2,1,END$
$BGINS,48.000000,-13.505593,2.585118,-0.045021,0.041207,2,1,END$
$BGINS,49.000000,-13.494086,2.590142,-0.046828,0.040199,2,1,END$
$BGINS,49.700001,-13.492652,2.591205,-0.047930,0.043230,2,2,END$
$BGINS,50.000000,-13.492513,2.591222,-0.047963,0.043245,2,1,END$
$BGINS,51.000000,-13.492025,2.591254,-0.048065,0.043267,2,1,END$
$BGINS,52.000000,-13.491512,2.591277,-0.048182,0.043276,2,1,END$
$BGINS,53.000000,-13.490973,2.591289,-0.048303,0.043346,2,1,END$
$BGINS,54.000000,-13.490387,2.591306,-0.048467,0.043404,2,1,END$
$BGINS,55.000000,-13.447474,2.558684,-0.074723,0.018599,2,1,END$
$BGINS,56.000000,-12.572366,2.465832,-0.056523,-0.037019,2,1,END$
$BGINS,57.000000,-10.979659,2.441631,-0.044861,0.000733,2,1,END$
$BGINS,58.000000,-9.366499,2.449452,-0.076792,0.040577,2,1,END$
$BGINS,59.000000,-8.069118,2.346013,-0.085038,-0.057068,2,1,END$
$BGINS,60.000000,-7.655926,2.397741,-0.092066,0.134138,2,1,END$
$BGINS,61.000000,-7.642450,2.397790,-0.064935,0.075809,2,2,END$
$BGINS,62.000000,-7.642013,2.397787,-0.065136,0.076863,2,1,END$
$BGINS,63.000000,-7.641549,2.397777,-0.065260,0.077033,2,1,END$
$BGINS,64.000000,-7.641045,2.397761,-0.065351,0.077070,2,1,END$
$BGINS,65.000000,-7.640501,2.397718,-0.065504,0.077116,2,1,END$
$BGINS,66.000000,-7.665462,2.381690,-0.076821,0.197517,2,1,END$
$BGINS,67.000000,-7.148958,2.086744,-0.114350,0.107312,2,1,END$
$BGINS,68.000000,-5.774601,1.925702,-0.022611,0.095517,2,1,END$
$BGINS,69.000000,-4.275369,1.842412,0.036989,0.042174,2,1,END$
$BGINS,70.000000,-3.475808,2.063327,-0.122000,0.046451,2,1,END$
$BGINS,71.000000,-3.458254,2.112879,-0.006410,0.022026,2,1,END$
$BGINS,72.000000,-3.458254,2.112879,-0.011818,0.035509,2,1,END$
$BGINS,72.080002,-3.456984,2.112742,-0.011825,0.035498,2,2,END$
$BGINS,73.000000,-3.456517,2.112715,-0.011895,0.035509,2,1,END$
$BGINS,74.000000,-3.455989,2.112676,-0.012046,0.035454,2,1,END$
$BGINS,75.000000,-3.455424,2.112649,-0.012156,0.035518,2,1,END$
$BGINS,76.000000,-3.454828,2.112627,-0.012319,0.035544,2,1,END$
$BGINS,77.000000,-3.454186,2.112596,-0.012460,0.035545,2,1,END$
$BGINS,78.000000,-3.453521,2.112570,-0.012606,0.035624,2,1,END$
$BGINS,79.000000,-3.452805,2.112549,-0.012781,0.035616,2,1,END$
$BGINS,80.000000,-3.475888,1.748425,-0.054582,0.075299,2,1,END$
$BGINS,81.000000,-3.510016,0.856710,-0.033953,-0.045034,2,1,END$
$BGINS,82.000000,-3.431825,0.349560,-0.078130,-0.034061,2,1,END$
$BGINS,83.000000,-3.409422,0.315809,-0.021252,0.060812,2,1,END$
$BGINS,83.019997,-3.409415,0.315804,-0.021251,0.060821,2,2,END$
$BGINS,84.000000,-3.408984,0.315656,-0.021048,0.060240,2,1,END$
$BGINS,85.000000,-3.408515,0.315493,-0.021359,0.060866,2,1,END$
$BGINS,86.000000,-3.407993,0.315326,-0.020955,0.059711,2,1,END$
$BGINS,87.000000,-3.407436,0.315154,-0.021662,0.061129,2,1,END$
$BGINS,88.000000,-3.201891,0.317292,-0.066094,0.012758,2,1,END$
